"","alt","temp2m","humidity","precip","atm","wind","m.fapar","classes[cv.train, rotulo]"
"1",0.361674110727435,0.719383617193836,0.614403401541323,0.594679186228482,0.97962962962963,0.192117942355962,0.665940006975933,"0"
"2",0.0670426027821496,0.916463909164639,0.579856497475419,0.516431924882629,0.994444444444444,0.170624044314936,0.365190094175096,"0"
"3",0.0398638259297992,0.856447688564477,0.818495880946054,0.624413145539906,1,0.123337468624679,0.798657132891524,"0"
"4",0.0648889136988004,0.821573398215734,0.872973691203827,0.632237871674491,1,0.173509131300309,0.999389605859784,"0"
"5",0.0256805620993904,0.788321167883211,1,0.871674491392801,1,0.283286691093736,0.896407394489013,"0"
"7",0.0267367694238013,0.845093268450933,0.893170342811586,0.784037558685446,1,0.265399151784426,0.724537844436693,"1"
"8",0.014218748904632,0.893755068937551,0.767738506510762,1,1,0.160180029427887,0.816794558772236,"1"
"9",0.0165384555708092,0.885644768856448,0.777571086898751,0.953051643192488,1,0.168835290384005,0.788890826648064,"1"
"10",0.00244242498400814,0.89132197891322,0.790326866861547,0.898278560250391,1,0.11119125241626,0.628182769445413,"1"
"12",0.0249084146943799,0.886455798864558,0.759500398618124,0.791862284820031,1,0.243847552003693,0.737268922218347,"1"
"13",0.00239861453068949,0.867802108678021,0.823279298432102,0.892018779342723,1,0.122587346008482,0.925444715730729,"0"
"14",0.0100698310159603,0.875912408759124,0.81450969970768,0.877934272300469,1,0.0930440552782666,0.939047785141263,"1"
"15",0.0303721341984753,0.840227088402271,0.828328461334042,0.884194053208138,1,0.130607887827818,0.955179630275549,"1"
"16",0.0322463532592825,0.833738848337388,0.809992027637523,0.846635367762128,1,0.136464614408124,0.900592954307639,"0"
"17",0.0462469058681243,0.834549878345499,0.888121179909646,0.790297339593114,0.994444444444444,0.266610888318283,0.945238925706313,"1"
"18",0.0173544806452868,0.887266828872668,0.767472761094871,0.81377151799687,0.994444444444444,0.2199013300251,0.589466341123125,"1"
"20",0.023436465332615,0.903487429034874,0.753919744884401,0.636932707355243,0.994444444444444,0.156140907648366,0.694279734914545,"0"
"21",0.0461276934820098,0.807785888077859,0.954026043050757,0.996870109546166,0.994444444444444,0.253599146014252,0.906348099058249,"0"
"22",0.015194735796716,0.879156528791565,0.825936752591018,0.7981220657277,0.994444444444444,0.271198176625025,0.758109522148587,"1"
"23",0.0137300570410433,0.910786699107867,0.748073345734786,0.779342723004695,0.994444444444444,0.210351692103517,0.634461109173352,"0"
"24",0.0135381274454237,0.910786699107867,0.742492692001063,0.807511737089202,0.994444444444444,0.200600098092958,0.702738053714684,"0"
"25",0.0741528337760036,0.895377128953771,0.723624767472761,0.655712050078247,0.994444444444444,0.174490060875335,0.884461109173352,"0"
"26",0.0203511640641196,0.914030819140308,0.682699973425459,0.599374021909233,0.994444444444444,0.125674389082831,0.674223927450296,"1"
"27",0.0457499382715923,0.817518248175182,0.951900079723625,0.940532081377152,0.994444444444444,0.268053431810969,0.809121032438089,"1"
"28",0.023597167805986,0.889699918896999,0.809194791389848,0.754303599374022,0.994444444444444,0.244539972880182,0.749302406696896,"1"
"29",0.014829147614162,0.904298459042985,0.773319160244486,0.769953051643192,0.994444444444444,0.206024061625458,0.744768050226718,"0"
"30",0.0153379923132269,0.898621248986213,0.783151740632474,0.784037558685446,0.994444444444444,0.202879316811402,0.809818625741193,"0"
"31",0.13074497858231,0.835360908353609,0.79085835769333,0.682316118935837,0.994444444444444,0.129655809122645,0.818800139518661,"0"
"32",0.0206061318505769,0.928629359286293,0.530427850119585,0.377151799687011,0.994444444444444,0.166758027754537,0.690268573421695,"0"
"33",0.0125040192209508,0.83698296836983,0.820621844273186,0.690140845070423,0.994444444444444,0.162949712933845,0.989012905476107,"0"
"34",0.0306657447857001,0.888888888888889,0.664895030560723,0.528951486697966,0.994444444444444,0.13611840396988,0.730118590861528,"1"
"35",0.0701070704019265,0.897810218978102,0.581982460802551,0.472613458528952,0.994444444444444,0.157525749401344,0.764562260202302,"0"
"36",0.0433914935273054,0.94647201946472,0.404996013818762,0.33489827856025,0.994444444444444,0.172643605204697,0.585891175444716,"1"
"37",0.310313604565099,0.866991078669911,0.407121977145894,0.247261345852895,0.994444444444444,0.217506707827241,0.511335891175445,"0"
"38",0.181753107000702,0.89294403892944,0.400478341748605,0.209702660406886,0.994444444444444,0.222642162661204,0.432246250435996,"1"
"39",0.0436572857428803,0.885644768856448,0.584374169545575,0.28169014084507,0.994444444444444,0.254551224719425,0.488140913847227,"1"
"40",0.0185728217593373,0.901054339010543,0.658517140579325,0.275430359937402,0.994444444444444,0.264100862641009,0.456749215207534,"0"
"41",0.0224906980344773,0.822384428223844,0.859420674993356,0.724569640062598,0.97962962962963,0.17019128126713,0.921869550052319,"1"
"42",0.141910967975764,0.846715328467153,0.639649216051023,0.428794992175274,0.97962962962963,0.138224517469202,0.859260551098709,"0"
"43",0.169471327886855,0.941605839416058,0.34732925857029,0.33489827856025,0.97962962962963,0.184299356625602,0.614841297523544,"0"
"46",0.128629584392808,0.866991078669911,0.33218176986447,0.170579029733959,0.97962962962963,0.226190819653213,0.359870945238926,"1"
"47",0.198379943014589,0.877534468775345,0.395429178846665,0.167449139280125,0.97962962962963,0.242376157641153,0.375479595395884,"0"
"48",0.18667554938567,0.881589618815896,0.457347860749402,0.226917057902973,0.97962962962963,0.239635325005049,0.581356818974538,"0"
"49",0.0353281601159028,0.914030819140308,0.513420143502525,0.217527386541471,0.97962962962963,0.24606906898243,0.530955702825253,"0"
"50",0.259874534912936,0.833738848337388,0.650810523518469,0.535211267605634,0.97962962962963,0.142956060125213,0.836937565399372,"1"
"51",0.155305668273315,0.845904298459043,0.575338825405262,0.375586854460094,0.97962962962963,0.137993710510372,0.93739100104639,"1"
"52",0.0820555260454217,0.912408759124087,0.53972893967579,0.417840375586854,0.97962962962963,0.156400565477049,0.816445762120684,"0"
"53",0.333713603426746,0.877534468775345,0.246080255115599,0.161189358372457,0.97962962962963,0.222267101353106,0.445849319846529,"0"
"54",0.088680020850188,0.903487429034874,0.612808929045974,0.566510172143975,0.974074074074074,0.138484175297885,0.793686780606906,"1"
"55",0.0815416684644294,0.935928629359286,0.390380015944725,0.374021909233177,0.974074074074074,0.180866103113009,0.640129054761074,"0"
"56",0.319827731921202,0.883211678832117,0.19904331650279,0.131455399061033,0.974074074074074,0.230922362309224,0.376525985350541,"0"
"57",0.0539765273965517,0.942416869424169,0.375498272654797,0.104851330203443,0.974074074074074,0.265860765702086,0.194454133240321,"0"
"58",0.151728987867768,0.899432278994323,0.538134467180441,0.458528951486698,0.974074074074074,0.174634315224604,0.705790024415766,"0"
"59",0.165308394710292,0.89132197891322,0.501727345203295,0.410015649452269,0.974074074074074,0.171085658232596,0.6625392396233,"0"
"60",0.342568239857699,0.853203568532035,0.184161573212862,0.118935837245696,0.974074074074074,0.236346325841724,0.340687129403558,"0"
"61",0.186431084898048,0.938361719383617,0.193462662769067,0.115805946791862,0.974074074074074,0.228094977063558,0.335629577956052,"0"
"62",0.0604312372816666,0.922952149229521,0.255381344671804,0.0938967136150235,0.974074074074074,0.271977150111076,0.0987966515521451,"0"
"63",0.0346418660872708,0.875101378751014,0.59526973159713,0.253521126760563,0.974074074074074,0.31637863881596,0.398848971049878,"1"
"65",0.13659614084238,0.896999188969992,0.539463194259899,0.50547730829421,0.961111111111111,0.199186405470125,0.742936867806069,"0"
"66",0.138296572540199,0.885644768856448,0.519000797236247,0.480438184663537,0.961111111111111,0.196099362395776,0.721747471224276,"1"
"67",0.194613364591616,0.889699918896999,0.500664363539729,0.455399061032864,0.961111111111111,0.190358039294885,0.613620509243111,"1"
"68",0.208240595274031,0.862935928629359,0.398618123837364,0.297339593114241,0.961111111111111,0.198349730244367,0.738489710498779,"0"
"69",0.328890220967916,0.845904298459043,0.174860483656657,0.10641627543036,0.961111111111111,0.237990825423387,0.217038716428322,"0"
"70",0.118657830147235,0.94566098945661,0.159712994950837,0.114241001564945,0.961111111111111,0.270246097919852,0.133240320892919,"1"
"72",0.228618780618219,0.872668288726683,0.483125166090885,0.469483568075117,0.961111111111111,0.201869536366521,0.482908964073945,"0"
"73",0.335561254862791,0.958637469586375,0.0964655859686419,0.153364632237872,0.961111111111111,0.25760941692392,0.421607952563655,"0"
"74",0.322215491543311,0.914841849148418,0.0916821684825936,0.136150234741784,0.961111111111111,0.251521883384784,0.358039762818277,"0"
"75",0.438882271448253,0.83779399837794,0.154929577464789,0.117370892018779,0.961111111111111,0.246126770722137,0.288803627485176,"0"
"76",0.328611172170774,0.862935928629359,0.165027903268669,0.140845070422535,0.961111111111111,0.254089610801766,0.378967561911406,"1"
"77",0.355088239736225,0.751013787510138,0.488440074408717,0.161189358372457,0.961111111111111,0.307579123510574,0.353243808859435,"1"
"78",0.0720952389445667,0.816707218167072,0.56656922668084,0.286384976525822,0.961111111111111,0.317734629699085,0.484652947331706,"1"
"79",0.0131875780195447,0.867802108678021,0.626893436088227,0.358372456964006,0.961111111111111,0.319638787109431,0.498692012556679,"1"
"81",0.218886270800565,0.845093268450933,0.520329524315706,0.503912363067293,0.946296296296296,0.223392285277401,0.575427275898151,"0"
"82",0.189904223699145,0.86536901865369,0.471166622375764,0.488262910798122,0.946296296296296,0.210784455151323,0.545081967213115,"0"
"83",0.17120434264168,0.871046228710462,0.421472229604039,0.444444444444445,0.946296296296296,0.204004500735697,0.466602720613882,"0"
"84",0.176449545110419,0.888888888888889,0.288068030826468,0.280125195618153,0.946296296296296,0.20247540463345,0.43739100104639,"0"
"85",0.157086538392995,1,0.0775976614403402,0.151799687010955,0.946296296296296,0.268255387899945,0.453261248692013,"1"
"86",0.388043666299444,0.854825628548256,0.0988572947116662,0.0954616588419405,0.946296296296296,0.266149274400623,0.237530519707011,"0"
"87",0.437370223218334,0.78507704785077,0.204358224820622,0.173708920187793,0.946296296296296,0.287700874181357,0.47070108126962,"1"
"88",0.363010179593875,0.862935928629359,0.154663832048897,0.172143974960876,0.946296296296296,0.288710654626237,0.335106382978723,"0"
"89",0.442350812486141,0.738848337388483,0.293914429976083,0.081377151799687,0.946296296296296,0.291855399440293,0.12434600627834,"1"
"90",0.101303349896152,0.793187347931873,0.567366462928514,0.309859154929577,0.946296296296296,0.314474481405614,0.434600627833973,"1"
"91",0.0418755075731916,0.853203568532035,0.621312782354504,0.400625978090767,0.946296296296296,0.31684025273362,0.497907220090687,"1"
